id;track_name;n_citacoes;size_bytes;price;prime_genre
302584613;Kindle – Read eBooks, Magazines & Textbooks;420;169747456;0.0;Book
379693831;Audible – audio books, original series & podcasts;186;81558528;0.0;Book
924058967;My Little Pony: Trick or Treat;11;81508352;2.99;Book
1011476555;Green Eggs and Ham - Read & Learn - Dr. Seuss;10;46465024;3.99;Book
1016686482;How the Grinch Stole Christmas! - Read & Play;9;62609408;3.99;Book
668598022;My Little Pony - A Canterlot Wedding;8;298639360;2.99;Book
1036517151;Little Fox Animal Doctor - be a vet;7;302585856;1.99;Book
545813738;Finding Nemo Storybook Deluxe;5;1131319296;2.99;Book
1067146012;The Lorax - Read & Play - Dr. Seuss;4;91570176;3.99;Book
1031002863;Color Therapy Adult Coloring Book for Adults;4;135236608;0.0;Book
